distance,elapsed_time,highest_elevation,lowest_elevation,moving_time,total_elevation_gain
23851.0,3774,-36.8,-92.6,3663,79.0
24658.4,4170,136.6,58.4,4126,171.0
23928.4,3278,182.2,133.4,3216,84.0
25223.5,4498,147.2,61.6,4498,203.0
23948.1,3634,84.2,35.0,3634,91.0
25216.5,4717,42.2,-41.6,4717,190.0
23948.7,3922,-23.2,-75.0,3858,84.0
25241.2,4454,0.2,-86.0,4454,201.0
23793.8,4372,-42.0,-96.6,4128,98.0
25642.9,4573,-5.8,-90.0,4573,201.0
23857.7,3959,-32.8,-91.4,3880,86.0
19379.0,3150,23.8,-39.2,3150,124.0
23870.2,3733,14.8,-38.4,3710,84.0
12358.2,2065,76.6,36.4,2050,65.0
12205.5,1837,107.0,60.8,1781,19.0
12188.0,2194,306.2,268.2,2154,60.0
12206.2,1904,312.4,274.6,1858,26.0
12142.1,2223,230.6,188.2,2125,62.0
12207.5,1946,230.6,185.6,1846,25.0
16203.1,3336,220.6,151.0,3281,142.0
12243.5,1967,166.4,124.0,1897,21.0
15237.6,2724,148.6,77.2,2724,139.0
12197.6,2066,119.2,73.6,1899,19.0
40022.3,8407,199.0,125.3,8117,222.6
12205.3,1885,167.6,125.0,1853,20.0
15254.3,2913,171.0,100.2,2803,132.0
12114.4,1846,149.2,108.0,1704,17.0
15246.7,2843,193.0,124.4,2843,136.0
12191.3,1898,175.4,129.6,1857,23.0
15279.2,3634,213.8,143.8,2702,127.0
12187.7,1767,192.4,148.8,1733,18.0
15435.6,2904,208.6,138.0,2904,132.0
12210.4,1853,174.0,131.8,1775,17.0
15366.1,2862,184.8,118.4,2770,135.0
12195.3,1906,184.8,140.2,1836,21.0
14439.4,2779,223.0,140.9,2695,167.6
12053.2,1913,119.6,75.6,1843,16.0
14229.2,2524,141.0,54.6,2499,152.0
12189.1,1907,90.6,45.8,1808,20.0
14608.5,2932,104.2,38.6,2864,157.0
12203.1,1846,88.4,44.0,1831,22.0
14440.7,2559,222.2,140.9,2486,179.4
