distance,elapsed_time,highest_elevation,lowest_elevation,moving_time,total_elevation_gain,stop_time,stop_ratio,avg_speed_implied_kmh,pace_min_per_km
27737.5,5007,145.8,53.2,5007,173.0,0,0.0,19.94307968843619,3.0085624155024786
24972.5,4804,130.4,61.6,4804,64.0,0,0.0,18.713780183180685,3.20619347949411
27711.4,4881,172.8,84.6,4881,172.0,0,0.0,20.43864781807007,2.9356149454737035
24976.8,5152,155.0,84.6,5122,53.0,30,0.005822981366459627,17.554955095665758,3.4178384207210954
27720.8,4831,240.4,156.4,4831,174.0,0,0.0,20.657188987787208,2.9045578290188834
24982.7,4391,233.8,168.0,4391,49.0,0,0.0,20.482286495103622,2.929360450765263
27042.5,3989,259.0,110.4,3989,230.0,0,0.0,24.405364753070945,2.458475855905827
142631.0,23705,254.2,97.4,20280,601.0,3425,0.14448428601560853,25.319112426035502,2.3697513163337565
27833.1,5710,175.6,89.0,5694,175.0,16,0.0028021015761821367,17.59732349841939,3.4096094218753934
24978.6,4207,157.4,99.4,4180,56.0,27,0.0064178749702876155,21.512669856459333,2.7890540969736763
27838.6,5530,152.2,64.6,5530,182.0,0,0.0,18.122777576853526,3.310750780091911
24996.4,4023,119.2,54.0,4023,52.0,0,0.0,22.368143176733785,2.6823862636219613
27744.4,5220,133.2,46.6,5220,167.0,0,0.0,19.13406896551724,3.135767938755208
24986.9,4162,111.2,43.8,4162,45.0,0,0.0,21.61288803459875,2.7761213542562966
27742.2,5053,166.2,83.6,5053,160.0,0,0.0,19.764876311102316,3.0356881093304304
24997.0,4036,176.4,111.8,4011,47.0,25,0.0061942517343904855,22.43560209424084,2.674320918510221
17690.4,5506,295.2,176.2,4058,196.0,1448,0.2629858336360334,15.693799901429276,3.8231658602028977
27787.4,5641,207.4,120.4,5319,166.0,322,0.05708207764580748,18.80703891708968,3.190294881852926
24981.9,4503,177.6,113.8,4486,48.0,17,0.003775260937153009,20.04789121711993,2.992833478104814
27781.8,4890,190.8,0.0,4890,167.0,0,0.0,20.45285889570552,2.933575218308389
24983.0,4179,171.2,104.4,4065,50.0,114,0.027279253409906678,22.125166051660518,2.7118440539566904
27769.1,4965,209.6,124.0,4965,165.0,0,0.0,20.13469486404834,2.979930930422664
24994.8,4149,209.4,144.4,4071,47.0,78,0.018799710773680405,22.102991893883566,2.714564629442924
27747.4,5088,246.2,162.2,5088,163.0,0,0.0,19.632594339622642,3.0561421971067557
25020.6,4029,227.4,167.6,4029,46.0,0,0.0,22.35645569620253,2.6837885582280205
29938.0,5464,259.0,173.8,5059,149.0,405,0.07412152269399708,21.30397311721684,2.816376066092146
24995.1,4215,280.2,215.2,4215,51.0,0,0.0,21.348128113879003,2.8105508679701225
27768.0,5296,247.2,0.0,5296,169.0,0,0.0,18.875528700906344,3.1787189090559878
25003.9,3970,168.4,111.8,3903,49.0,67,0.016876574307304788,23.06278247501922,2.601594151312395
27770.8,5562,161.2,76.0,5562,159.0,0,0.0,17.97462783171521,3.3380385152750374
24988.7,4009,126.2,64.2,4009,54.0,0,0.0,22.439341481666254,2.6738752582834104
27744.1,5000,132.8,47.0,4912,167.0,88,0.0176,20.333623778501625,2.950777522668483
25009.2,3974,124.8,58.8,3954,41.0,20,0.0050327126321087065,22.77013657056146,2.635030308846345
27725.9,5082,279.8,190.8,5082,165.0,0,0.0,19.640543093270367,3.0549053412152536
25000.6,4023,246.2,186.0,3998,46.0,25,0.006214267959234402,22.51179589794897,2.6652693668685288
27717.6,5586,171.4,81.6,5586,180.0,0,0.0,17.863114930182597,3.3588766704187956
24999.9,4068,108.4,47.6,4045,55.0,23,0.005653883972468043,22.24960197775031,2.69667745337648
27744.9,5722,101.0,19.8,5722,166.0,0,0.0,17.45572177560294,3.4372683508200303
24989.4,4075,82.6,15.4,4075,57.0,0,0.0,22.076525153374234,2.717819021931966
27798.7,4723,147.8,64.6,4707,169.0,16,0.0033876773237349143,21.26095602294455,2.822074413551713
25000.0,4130,166.8,90.6,4024,47.0,106,0.025665859564164648,22.365805168986086,2.6826666666666665
42320.5,7207,200.6,138.0,5638,115.0,1569,0.2177050090190093,27.02266761262859,2.220358140066083
27736.9,5176,161.2,75.6,5176,170.0,0,0.0,19.291506955177745,3.1101769363795757
25016.5,3916,139.8,77.0,3827,44.0,89,0.022727272727272728,23.532636529918996,2.549650563961119
31927.0,5987,175.8,94.6,5841,187.0,146,0.024386170035075996,19.677657935285055,3.04914335828609
25012.4,3760,177.6,107.0,3597,43.0,163,0.043351063829787234,25.033261050875733,2.3968111816538995
