distance,elapsed_time,highest_elevation,lowest_elevation,moving_time,total_elevation_gain,stop_time,stop_ratio,avg_speed_implied_kmh,pace_min_per_km,flag_elapsed_lt_moving,flag_stop_time_negative,flag_distance_eq_0,flag_stop_ratio_gt_0_8,flag_avg_speed_gt_45,flag_pace_gt_30
14643.3,34975,229.7,148.4,2477,89.6,32498,0.9291779842744817,21.282147759386355,2.8192643279406506,False,False,False,True,False,False
14697.8,35507,232.3,148.4,2434,90.9,33073,0.9314501365927845,21.73873459326212,2.760050256954556,False,False,False,True,False,False
14657.6,35568,229.0,148.4,2483,90.3,33085,0.9301900584795322,21.25145388642771,2.823336244223702,False,False,False,True,False,False
14689.1,34495,230.3,148.3,2477,91.4,32018,0.9281924916654588,21.34871215179653,2.8104739795721545,False,False,False,True,False,False
14699.6,34686,229.8,148.4,2469,80.2,32217,0.9288185435045839,21.433195625759417,2.799395901929304,False,False,False,True,False,False
7871.5,23040,126.4,44.4,1776,90.0,21264,0.9229166666666667,15.955743243243242,3.76040144826272,False,False,False,True,False,False
5111.1,10350,164.0,144.0,1254,18.9,9096,0.878840579710145,14.673014354066986,4.089139324215922,False,False,False,True,False,False
5238.6,11636,162.9,143.5,1131,18.2,10505,0.9028016500515641,16.67458885941645,3.5982896193639524,False,False,False,True,False,False
2738.3,4537,163.2,144.0,724,18.9,3813,0.8404231871280582,13.61585635359116,4.406626982677817,False,False,False,True,False,False
0.0,812,283.4,192.2,812,0.0,0,0.0,0.0,,False,False,True,False,False,False
